title,plot
"Graduate, The (1967)","Graduate, The. "
Nikita (La Femme Nikita) (1990),Nikita (La Femme Nikita). 
"Bridge on the River Kwai, The (1957)","Bridge on the River Kwai, The. "
"Shining, The (1980)","Shining, The. "
Evil Dead II (1987),"Evil Dead II. A young man, named Ash, takes his girlfriend Linda to a secluded cabin in the woods where he plays back a professor's tape recorded recitation of passages from the Book of the Dead. The spell calls up an evil force from the woods which turns Linda into a monstrous Deadite, and threatens to do the same to Ash. When the professor's daughter and her entourage show up at the cabin, the night turns into a non-stop, grotesquely comic battle with chainsaw and shotgun on one side, demon horde and flying eyeball on the other."
Groundhog Day (1993),"Groundhog Day. A weather man is reluctantly sent to cover a story about a weather forecasting ""rat"" (as he calls it). This is his fourth year on the story, and he makes no effort to hide his frustration. On awaking the 'following' day he discovers that it's Groundhog Day again, and again, and again. First he uses this to his advantage, then comes the realisation that he is doomed to spend the rest of eternity in the same place, seeing the same people do the same thing EVERY day."
Unforgiven (1992),"Unforgiven. Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner and a young man."
Back to the Future (1985),"Back to the Future. Marty McFly, a typical American teenager of the Eighties, is accidentally sent back to 1955 in a plutonium-powered DeLorean ""time machine"" invented by slightly mad scientist. During his often hysterical, always amazing trip back in time, Marty must make certain his teenage parents-to-be meet and fall in love - so he can get back to the future."
Patton (1970),"Patton. ""Patton"" tells the tale of General George S. Patton, famous tank commander of World War II. The film begins with Patton's career in North Africa and progresses through the invasion of Europe and the fall of the Third Reich. Side plots also speak of Patton's numerous faults such his temper and tendency toward insubordination, faults that would prevent him from becoming the lead American general in the Normandy Invasion as well as to his being relieved as Occupation Commander of Germany."
Akira (1988),"Akira. Kaneda is a bike gang leader whose close friend Tetsuo gets involved in a government secret project known as Akira. On his way to save Tetsuo, Kaneda runs into a group of anti-government activists, greedy politicians, irresponsible scientists and a powerful military leader. The confrontation sparks off Tetsuo's supernatural power leading to bloody death, a coup attempt and the final battle in Tokyo Olympiad where Akira's secrets were buried 30 years ago."
Cyrano de Bergerac (1990),"Cyrano de Bergerac. A dashing officer of the guard and romantic poet, Cyrano de Bergerac is in love with his cousin Roxane without her knowing. His one curse in his life, he feels, is his large nose and although it may have been a forming influence in his rapier-sharp wit, he believes that Roxane will reject him. He resorts to writing letters to her on behalf of one of his cadets, Christian, who is also in love with Roxane but just doesn't know how to tell her. She falls for the poetic charm of the letters but believes that they were written by Christian."
Young Frankenstein (1974),"Young Frankenstein. An American grandson of the infamous scientist, struggling to prove that he is not as insane as people believe, travels to his family's home country and discovers the process that reanimates a dead body."
This Is Spinal Tap (1984),"This Is Spinal Tap. Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DeBergi on what proves to be a fateful tour."
Indiana Jones and the Last Crusade (1989),"Indiana Jones and the Last Crusade. Indiana Jones, famed adventurer and archaeologist acquires a diary that holds clues and a map with no names to find the mysterious Holy Grail- which was sent from his father, Dr. Henry Jones, in Italy. Upon hearing from a private collector, Walter Donavan, that the mission for the Holy Grail went astray with the disappearance of his father, Indiana Jones and museum curator Marcus Brody venture to Italy in search of Indy's father. However, upon retrieving Dr. Henry Jones in Nazi territory, the rescue mission turns into a race to find the Holy Grail before the Nazis do- who plan to use it for complete world domination for their super-race. With the diary as a vital key and the map with no names as a guide, Indiana Jones once again finds himself in another death defying adventure of pure excitement."
M*A*S*H (1970),M*A*S*H. 
"Unbearable Lightness of Being, The (1988)","Unbearable Lightness of Being, The. "
"Room with a View, A (1986)","Room with a View, A. "
Pink Floyd - The Wall (1982),"Pink Floyd - The Wall. The movie tells the story of rock singer ""Pink"" who is sitting in his hotel room in Los Angeles, burnt out from the music business and only able to perform on stage with the help of drugs. Based on the 1979 double album ""The Wall"" by Pink Floyd, the film begins in Pink's youth where he is crushed by the love of his mother. Several years later, he is punished by the teachers in school because he is starting to write poems. He slowly begins to build a wall around himself to be protected from the world outside. The film shows all this in massive and epic pictures until the very end where he tears down the wall and breaks free."
Field of Dreams (1989),"Field of Dreams. An Iowa corn farmer, hearing voices, interprets them as a command to build a baseball diamond in his fields; he does, and the Chicago White Sox come."
When Harry Met Sally... (1989),"When Harry Met Sally.... Harry and Sally meet when she gives him a ride to New York after they both graduate from the University of Chicago. The film jumps through their lives as they both search for love, but fail, bumping into each other time and time again. Finally a close friendship blooms between them, and they both like having a friend of the opposite sex. But then they are confronted with the problem: ""Can a man and a woman be friends, without sex getting in the way?"""
Bram Stoker's Dracula (1992),Bram Stoker's Dracula. N/A
Cape Fear (1991),"Cape Fear. Sam Bowden is a small-town corporate attorney/""Leave It to Beaver""-esque family-man. Max Cady is a tattooed, cigar-smoking, bible-quoting, rapist. What do they have in common? Fourteen years, ago Sam was a public defender assigned to Max Cady's rape trial, and he made a serious error: he hid a document from his illiterate client that could have gotten him acquitted. Now, the cagey, bibliophile Cady has been released, and he intends to teach Sam Bowden and his family a thing or two about loss."
"Nightmare on Elm Street, A (1984)","Nightmare on Elm Street, A. "
"Mirror Has Two Faces, The (1996)","Mirror Has Two Faces, The. "
Breaking the Waves (1996),"Breaking the Waves. Drama set in a repressed, deeply religious community in the north of Scotland, where a naive young woman named Bess McNeil meets and falls in love with Danish oil-rig worker Jan. Bess and Jan are deeply in love but, when Jan returns to his rig, Bess prays to God that he returns for good. Jan does return, his neck broken in an accident aboard the rig. Because of his condition, Jan and Bess are now unable to enjoy a sexual relationship and Jan urges Bess to take another lover and tell him the details. As Bess becomes more and more deviant in her sexual behavior, the more she comes to believe that her actions are guided by God and are helping Jan recover."
Star Trek: First Contact (1996),"Star Trek: First Contact. The time is the 24th century and the ship is the newly-commissioned Enterprise-E. Its captain, Jean-Luc Picard, has been ordered not to interfere in a battle between a Borg Cube and ships from the Federation. However, seeing the Federation is about to lose, Picard ignore his orders and takes command of the defending fleet. With his knowledge of the Cube's weak spot, they destroy it. However, a small part of it escapes and plots a course directly for Earth. The Enterprise chases it and enters a time distortion created by the Borg. They end up in the mid-21st century, and their only chance of stopping the Borg from assimilating Earth is to help Zefram Cochrane make his famous first faster-than-light travel to the stars."
Sling Blade (1996),"Sling Blade. A partially handicapped man named Karl is released from a mental hospital, about 20 years after murdering his mother and another person. Karl is often questioned if he will ever kill again, and he shrugs in response saying there is no reason to. Now out of the mental institution, Karl settles in his old, small hometown, occupying himself by fixing motors. After meeting a young boy named Frank, who befriends him, Karl is invited to stay at Frank's house with his mother Linda, who views Karl as a strange but kind and generous man. However, Linda's abusive boyfriend, Doyle, sees things differently in the way rules ought to be run- normally insulting Linda's homosexual friend Vaughan as well as Karl's disabilities, and having wild parties with his friends. As Karl's relationship with Frank grows, he is watchful of Doyle's cruel actions."
101 Dalmatians (1996),"101 Dalmatians. Fashion designer Anita and computer-game writer Roger meet, fall in love and marry along with their dalmatians Perdita and Pongo. But the proud dogs' puppies are kidnapped by Anita's boss Cruella De Vil, who is stealing young dalmatians to make the coat she has set her heart on. Enlisting the help of the British animal kingdom, Pongo and Perdita set out to find and rescue all ninety-nine pups from their fearsome captors, Jasper and Horace."
Die Hard 2 (1990),"Die Hard 2. After the terrifying events in LA, John McClane (Willis) is about to go through it all again. A team of terrorists, led by Col. Stuart (Sadler) is holding the entire airport hostage. The terrorists are planning to rescue a drug lord from justice. In order to do so, they have seized control of all electrical equipment affecting all planes. With no runway lights available, all aircraft have to remain in the air, with fuel running low, McClane will need to be fast."
Star Trek VI: The Undiscovered Country (1991),"Star Trek VI: The Undiscovered Country. After an explosion on their moon, the Klingons have an estimated 50 years before their ozone layer is completely depleted, and they all die. They have only one choice - to make peace with the Federation, which will mean an end to 70 years of conflict. Captain James T. Kirk and crew are called upon to help in the negotiations because of their ""experience"" with the Klingon race. Peace talks don't quite go to plan, and eventually Kirk and McCoy are tried and convicted of assassination, and sent to Rura Penthe, a snowy hard-labor prison camp. Will they manage to escape? And will there ever be peace with the Klingons?"
Star Trek: The Wrath of Khan (1982),Star Trek: The Wrath of Khan. 
Star Trek III: The Search for Spock (1984),"Star Trek III: The Search for Spock. Following Kirk's encounter with Khan that left the Enterprise severely damaged and Spock dead, they return to Starfleet so that Enterprise could be repaired. Kirk's hoping to go back to the newly-created Genesis planet where he laid Spock to rest. But upon arriving, he is told that the Enterprise will not be repaired and that Genesis has become a delicate matter and until it is resolved, no one is allowed to go there or talk about it. McCoy is also acting strangely and is later detained when he starts talking about Genesis. Kirk is visited by Spock's father Sarek, who tells him that he betrayed Spock because being placed on Genesis was not what he would have wanted. He tells Kirk he is supposed to bring Spock's body along with his soul or katra as the Vulcans call it which he passes onto someone, and bring it to Vulcan for the final rites. Sarek assumes Kirk would have it but he does not. Kirk then thinks that Spock may have passed it someone else and realizes McCoy is the one who has which is why he is acting weird. Sarek tells Kirk he must bring both Spock's body and McCoy who has his soul to Vulcan so that they could be at peace. Kirk asks permission but his request is refused. Kirk then along with the others decides to take the Enterprise and proceed to Genesis to get Spock's body. But what they do not know is that the Klingons, who upon learning of Genesis, sets out to get it, so they go there and destroy the science vessel sent to evaluate Genesis. They capture Lieutenant Saavik and Kirk's son David who go to the planet and discover that Spock was somehow regenerated and that the planet is aging rapidly."
Star Trek IV: The Voyage Home (1986),"Star Trek IV: The Voyage Home. James T. Kirk who after rescuing Mr. Spock and bringing him to Vulcan where he is fully restored, is now the most hated man in the universe, because he disobeyed his superiors, killed a Klingon crew and took their ship. After three months on Vulcan, Kirk decides to return to Earth to face the consequences of his actions along with his crew who aided him. Also accompanying them is Mr. Spock, who is still trying to understand his human side. What they don't know is that an alien probe approaches Earth and is emitting a signal that nullifies all power systems. And it is now vaporizing the planet's oceans covering the planet in a cloud that covers the earth cutting them off from the sun - the planet's main source of energy. The President of the Federation sends a transmission telling everyone about what is happening and to stay away from Earth. Kirk upon hearing it, checks out the probe's transmission and Spock postulates that the alien is not hostile merely unaware that its transmissions are disruptive. Spock thinks it's trying to communicate with another species other than man. And upon analyzing it, Spock learns that the probe is sending the songs of whales, specifically humpback whales. The only problem is that the species has been extinct for two centuries. With little choice, Kirk decides to get some humpback whales from the only place they can from Earth in the past so that they can communicate with the probe. So they travel through time and arrive in the late 20th century. And they discover a pair of humpback whales in San Francisco. So Kirk and Spock set out to find them. While Scotty, McCoy and Sulu try to find the materials they need to make a whale tank. And also the ship's dilithium crystals are failing. So Uhura and Chekov try to find a nuclear reactor so that they can drain some radiation which they hope can restore the ship's power. And they have to contend with the ways of the 20th century."
Batman Returns (1992),"Batman Returns. When a corrupt businessman and the grotesque Penguin plot to take control of Gotham City, only Batman can stop them, while the Catwoman has her own agenda."
Young Guns (1988),"Young Guns. A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted."
Under Siege (1992),"Under Siege. The battleship Missouri is about to be decomissioned. Casey Ryback is Captain Adam's personal cook. And Ryback is always butting heads with the ship's XO Commander Krill but the Captain always intercedes. One day, after the President visits the Missouri, which is also the Captain's birthday, the Captain learns that a helicopter has been cleared to land on the ship by Commander Krill, which he was not informed of. When questioned Krill tells the Captain that it's a surprise for his birthday, the Captain then allows it. Later after another one of their scuffles, Krill has Ryback locked in the freezer. During the party, the rock band reveals themselves to be mercenaries, led by William Stranix, a CIA operative, who is in league with Krill to unload all of the ship's nuclear warheads. They lock up all of the crew and make preparations to remove the warheads. And Krill remembers Ryback, Stranix sends two of his men to take care of Ryback, only thing is that Ryback took care of them. Upon discovering their bodies, Stranix deduces that Ryback is more than a cook. He then sends Krill to check on him, and Krill discovers that Ryback's a NAVY SEAL, who got busted down to a cook after an incident in Panama. And Ryback continues to create trouble for them, so Stranix tries to hunt him down. Along the way, Ryback meets Jordan, a former playmate, who was supposed to entertain at the party but was also forgotten."
Jaws (1975),"Jaws. It's a hot summer on Amity Island, a small community whose main business is its beaches. When new Sheriff Martin Brody discovers the remains of a shark attack victim, his first inclination is to close the beaches to swimmers. This doesn't sit well with Mayor Larry Vaughn and several of the local businessmen. Brody backs down to his regret as that weekend a young boy is killed by the predator. The dead boy's mother puts out a bounty on the shark and Amity is soon swamped with amateur hunters and fisherman hoping to cash in on the reward. A local fisherman with much experience hunting sharks, Quint, offers to hunt down the creature for a hefty fee. Soon Quint, Brody and Matt Hooper from the Oceanographic Institute are at sea hunting the Great White shark. As Brody succinctly surmises after their first encounter with the creature, they're going to need a bigger boat."
Mars Attacks! (1996),"Mars Attacks!. It is a normal day for everyone, until the President of the United States announces Martians have been spotted circling Earth. The Martians land and a meeting is arranged, but not everything goes to plan, and the Martians seem to have other plans for Earth. Are they just misunderstood beings or do they really want to destroy all of humanity?"
Jerry Maguire (1996),"Jerry Maguire. Jerry Maguire (Tom Cruise) is a successful sports agent. The biggest clients, the respect, a beautiful fiance, he has it all. Until one night he questions his purpose. His place in the world, and finally comes to terms with what's wrong with his career and life. Recording all his thoughts in a mission statement Jerry feels he has a new lease on life. Unfortunately his opinions aren't met with enthusiasm from his superiors and after dishonorably being stripped of his high earning clients and elite status within the agency Jerry steps out into the sports business armed with only one volatile client (Cuba Gooding Jr.) and the only person with belief in his abilities (Rene Zellweger) with the impossible task of rebuilding what he once had. Along the way he faces the harsh truths which he'd ignored in the past and a host of hardships that he'd never faced before."
Raising Arizona (1987),"Raising Arizona. When a childless couple of an ex-con and an ex-cop decide to help themselves to one of another family's quintupelets, their lives get more complicated than they anticipated."
Sneakers (1992),"Sneakers. Martin Bishop is the head of a group of experts who specialise in testing security systems. When he is blackmailed by Government agents into stealing a top secret black box, the team find themselves embroiled in a game of danger and intrigue. After they recover the box, they discover that it has the capability to decode all existing encryption systems around the world, and that the agents who hired them didn't work for the Government after all..."
Beavis and Butt-head Do America (1996),"Beavis and Butt-head Do America. Our intrepid adolescent heroes wake up to find their beloved television stolen, and embark on an epic journey across America to recover it, and, who knows, maybe even score. On the way they encounter a murderous smuggler of a deadly virus and his treacherous wife, an FBI agent with a predilection for cavity searches, a couple of rather familiar looking ex-Motley Crue roadies, Mr. Van Dreesen singing ""Lesbian Seagull"", a little old lady and of course Mr. Anderson and his trailer. Can the Great Cornholio save the day? Uh-huh. Huh-huh."
"Last of the Mohicans, The (1992)","Last of the Mohicans, The. "
Kolya (1996),"Kolya. Franta Louka is a concert cellist in Soviet-occupied Czechoslovakia, a confirmed bachelor and a lady's man. Having lost his place in the state orchestra, he must make ends meet by playing at funerals and painting tombstones. But he has run up a large debt, and when his friend, the grave-digger Mr. Broz, suggests a scheme for making a lot of money by marrying a Russian woman so that she can get her Czech papers, he reluctantly agrees. She takes advantage of the situation to emigrate to West Germany, to her lover; and leaves her five-year-old son with his grandmother; when the grandmother dies, Kolya must come and live with his stepfather - Louka."
Jungle2Jungle (1997),Jungle2Jungle. 
"Devil's Own, The (1997)","Devil's Own, The. "
Chasing Amy (1997),"Chasing Amy. A pair of comic book authors named Holden McNeil and Banky Edwards, who live in New Jersey, have been best friends for 20 years. They spend their time working in their studio, and in the evenings they are going out. But their friendship is about to be disputed for the first time in their life, when a beautiful young lesbian woman named Alyssa Jones enters their life and Holden falls in love with her. Now Holden has to deal with Banky's jealousy, and with his new girlfriend's very rich past."
Grosse Pointe Blank (1997),"Grosse Pointe Blank. Martin Blank is a freelance hitman who starts to develop a conscience, which causes him to muff a couple of routine assignments. On the advice of his secretary and his psychiatrist, he attends his 10th year High School reunion in Grosse Pointe, Michigan (a Detroit suburb where he's also contracted to kill someone). Hot on his tail are a couple of over-enthusiastic federal agents, another assassin who wants to kill him, and Grocer, an assassin who wants him to join an ""Assassin's Union."""
Austin Powers: International Man of Mystery (1997),"Austin Powers: International Man of Mystery. A 1960s hipster secret agent is brought out of cryofreeze to oppose his greatest enemy in the 1990s, where his social attitudes are glaringly out of place."
"Fifth Element, The (1997)","Fifth Element, The. "
"Lost World: Jurassic Park, The (1997)","Lost World: Jurassic Park, The. "
Batman & Robin (1997),Batman & Robin. Batman & Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.
My Best Friend's Wedding (1997),"My Best Friend's Wedding. A woman who, by a promise made years earlier, is supposed to marry her best friend in three weeks, even though she doesn't want to. When she finds out that he's marrying someone else, she becomes jealous and tries to break off the wedding."
Men in Black (1997),"Men in Black. Based off of the comic book. Unbeknownst to other people, there is a private agency code named MiB. This agency is some kind of extra terrestrial surveillance corporation. Then, one of the agency's finest men only going by the name ""K"", is recruiting for a new addition to the agency. He has chosen James Edwards of the N.Y.P.D. Then, one day, a flying saucer crashes into Earth. This was an alien a part of the ""Bug"" race. He takes the body of a farmer and heads to New York. He is searching for a super energy source called ""The Galaxy"". Now, Agents J and K must stop the bug before it can escape with the galaxy."
Contact (1997),"Contact. Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of intelligent aliens, who send plans for a mysterious machine."
George of the Jungle (1997),George of the Jungle. George grows up in the jungle raised by apes. Based on the Cartoon series.
Event Horizon (1997),"Event Horizon. In the year 2047 a group of astronauts are sent to investigate and salvage the long lost starship ""Event Horizon"". The ship disappeared mysteriously 7 years before on its maiden voyage and with its return comes even more mystery as the crew of the ""Lewis and Clark"" discover the real truth behind its disappearance and something even more terrifying."
In the Company of Men (1997),"In the Company of Men. Two junior executives on a six week business trip, both of whom have been recently hurt by women, devise a horrible plan to get even with women for their past hurts: They intend to find, romance, and then dump a vulnerable woman. They choose Cristine, and for a while all goes according to plan. However, it soon becomes clear that things are not as simple as they think."
Mimic (1997),"Mimic. Three years ago, entomologist Dr. Susan Tyler genetically created an insect to kill cockroaches carrying a virulent disease. Now, the insects are out to destroy their only predator, mankind."
"Hunt for Red October, The (1990)","Hunt for Red October, The. "
Chasing Amy (1997),"Chasing Amy. A pair of comic book authors named Holden McNeil and Banky Edwards, who live in New Jersey, have been best friends for 20 years. They spend their time working in their studio, and in the evenings they are going out. But their friendship is about to be disputed for the first time in their life, when a beautiful young lesbian woman named Alyssa Jones enters their life and Holden falls in love with her. Now Holden has to deal with Banky's jealousy, and with his new girlfriend's very rich past."
"Full Monty, The (1997)","Full Monty, The. "
Gattaca (1997),"Gattaca. In the not-too-distant future, a less-than-perfect man wants to travel to the stars. Society has categorized Vincent Freeman as less than suitable given his genetic make-up and he has become one of the underclass of humans that are only useful for menial jobs. To move ahead, he assumes the identity of Jerome Morrow, a perfect genetic specimen who is a paraplegic as a result of a car accident. With professional advice, Vincent learns to deceive DNA and urine sample testing. Just when he is finally scheduled for a space mission, his program director is killed and the police begin an investigation, jeopardizing his secret."
Starship Troopers (1997),Starship Troopers. In the distant future high school kids are encouraged to become citizens by joining the military. What they don't know is that they'll soon be engaged in a full scale war against a planet of alien insects. The fight is on to ensure the safety of humanity.
Good Will Hunting (1997),"Good Will Hunting. A touching tale of a wayward young man who struggles to find his identity, living in a world where he can solve any problem, except the one brewing deep within himself, until one day he meets his soul mate who opens his mind and his heart."
Heat (1995),"Heat. Hunters and their prey--Neil and his professional criminal crew hunt to score big money targets (banks, vaults, armored cars) and are, in turn, hunted by Lt. Vincent Hanna and his team of cops in the Robbery/Homicide police division. A botched job puts Hanna onto their trail while they regroup and try to put together one last big 'retirement' score. Neil and Vincent are similar in many ways, including their troubled personal lives. At a crucial moment in his life, Neil disobeys the dictum taught to him long ago by his criminal mentor--'Never have anything in your life that you can't walk out on in thirty seconds flat, if you spot the heat coming around the corner'--as he falls in love. Thus the stage is set for the suspenseful ending...."
Sabrina (1995),"Sabrina. An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it."
Sense and Sensibility (1995),"Sense and Sensibility. When Mr. Dashwood dies, he must leave the bulk of his estate to the son by his first marriage, which leaves his second wife and their three daughters (Elinor, Marianne, and Margaret) in straitened circumstances. They are taken in by a kindly cousin, but their lack of fortune affects the marriageability of both practical Elinor and romantic Marianne. When Elinor forms an attachment for the wealthy Edward Ferrars, his family disapproves and separates them. And though Mrs. Jennings tries to match the worthy (and rich) Colonel Brandon to her, Marianne finds the dashing and fiery John Willoughby more to her taste. Both relationships are sorely tried."
Leaving Las Vegas (1995),"Leaving Las Vegas. Because his wife left him and took his son with her, screenwriter Ben Sanderson has started drinking, a lot. He's getting more and more isolated and he troubles women in bars because he wants to have sex with them. When he gets fired, he decides to leave everything behind and move to Las Vegas and drink himself to death. In Las Vegas he meets Sera, a prostitute with some problems as well who he moves in with."
Restoration (1995),"Restoration. The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman."
Bed of Roses (1996),"Bed of Roses. Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window."
Up Close and Personal (1996),Up Close and Personal. N/A
"River Wild, The (1994)","River Wild, The. "
"Time to Kill, A (1996)","Time to Kill, A. "
Emma (1996),"Emma. Emma Woodhouse is a congenial young lady who delights in meddling in other people's affairs. She is perpetually trying to unite men and women who are utterly wrong for each other. Despite her interest in romance, Emma is clueless about her own feelings, and her relationship with gentle Mr. Knightly."
Tin Cup (1996),Tin Cup. A washed up golf pro working at a driving range tries to qualify for the US Open in order to win the heart of his succesful rival's girlfriend.
Secrets & Lies (1996),Secrets & Lies. N/A
"English Patient, The (1996)","English Patient, The. "
Marvin's Room (1996),"Marvin's Room. Estranged since their father's first stroke some 17 years earlier, Lee and Bessie lead separate lives in separate states. Lee's son, Hank, finds himself committed to a mental institution after setting fire to his mother's house. His younger brother, Charlie, seems unfazed by his brother's eccentricities or his mother's seeming disinterest. When Lee comes to the asylum to spring Hank for a week in Florida so that he can be tested as a possible bone marrow donor for Bessie, Hank is incredulous. ""I didn't even know you had a sister,"" he says. ""Remember, every Christmas, when I used to say 'Well, looks like Aunt Bessie didn't send us a card again this year?'"" ""Oh yeah,"" Hank says. Meanwhile, Marvin, the two women's bedridden father, has ""been dying for the past twenty years."" ""He's doing it real slow so I don't miss anything,"" Bessie tells Dr. Wally. In Bessie's regular doctor's absence, it has fallen to Dr. Wally to inform Bessie that she has leukemia and will die without a bone marrow transplant. This precipitates the two sisters uneasy reunion. In Marvin's room, Bessie cares for her father's every need. In Lee's eyes, the sacrifice Bessie has made is too great and realizing the old man's welfare will fall to her if Bessie dies, Lee's first instinct is to look for a nursing home. ""In a few month's, I'll have my cosmotology degree,"" she says. ""My life is just coming together; I'm not going to give it all up, now!"" As first Lee is tested and then the boys for the compatibility of their marrow with Bessie's, the women take stock of their lives and rediscover the meaning of ""family."""
Scream (1996),"Scream. 1 year after her mother's death, Sydney Prescott (Neve Campbell), and her friends started experiencing some strange phone calls. They later learned the calls were coming from a crazed serial killer, in a white faced mask and a large black robe, looking for revenge. His phone calls usually consist of many questions, the main one being: Whats your favorite scary movie? Along with many scary movie trivia, ending with bloody pieces of innocent lives scattered around the small town of Woodsboro."
Evita (1996),"Evita. High-flying, adored! The film adaptation of the hit Broadway musical depicting the infamous real-life story of Eva ""Evita"" Duarte de Peron, the wife of President Juan Peron, who rose from poverty to become the most famous Argentine woman in history. Her huge political influence and constant charity works earned her scorn and fear from the military and upper classes but adoration and love from the workers and descamisados. Evita's legendary life is displayed before your eyes as the most hated and most beloved woman in Argentina."
Fierce Creatures (1997),"Fierce Creatures. A massive corporate conglomerate, Octopus Inc., run by a shrewd and cruel tycoon named Rod McCain, purchases a UK-based leisure company, and also the failing London Marwood Zoo. To bring more business to the zoo, Octopus hires a new manager, Rollo Lee, who promptly comes up with a way to increase profits-do away with all the animals except for the ferocious ones. This new Fierce Creatures Policy shocks the Marwood zookeepers, led by the unendingly talkative Adrian ""Bugsy"" Malone. Eventually, Rod McCain's son Vince, along with the up-and-coming business executive Willa Weston, take control of the zoo and revoke the Fierce Creatures Policy. Vince instead comes up with many under-handed and vicious schemes to attract customers-unauthorized celebrity endorsements, shoddy, overpriced zoo merchandise, and using robotic animals instead of real ones. However, Vince is also stealing from the zoo's funds, and when his father finds out, he rears to turn the zoo into a Japanese-owned golf course. Meanwhile, Willa has grown to love the zoo and its animals, and, along with her newly-reformed love interest Rollo, plot with the zookeepers to save the zoo from the McCains."
Absolute Power (1997),Absolute Power. A career thief witnesses a horrific crime involving the U.S. President.
Rosewood (1997),Rosewood. A dramatization of a 1923 horrific racist lynch mob attack on an African American community.
Donnie Brasco (1997),"Donnie Brasco. This true story follows FBI agent Joe Pistone as he infiltrates the mafia of New York. Befriending Lefty Ruggiero, Pistone (under the name Donnie Brasco) is able to embed himself in a mafia faction led by Sonny Black. Ruggiero and Pistone become tight as the group goes about collecting money for 'the bosses'. Eventually, the group become big-time when Black himself becomes a boss; all the while, Pistone collects evidence. However, the trials and tribulations of the undercover work become more than Pistone can bear. His marriage falls apart, and to top it off, the mafia suspect a mole in the organization. The real dilemma is afforded to Pistone, who knows if he walks away from the mafia, Ruggiero will be the one punished."
Liar Liar (1997),Liar Liar. A fast track lawyer can't lie for 24 hours due to his son's birthday wish after the lawyer turns his son down for the last time.
Breakdown (1997),"Breakdown. Jeff and Amy Taylor are moving to California and must drive across the country. When they find themselves stranded in the middle of a desert with hardly anyone or anything around, their trip comes to a sudden halt. Amy had taken a ride with a friendly trucker to a small diner to call for help, but after a long time, Jeff becomes worried. He finds that no one in the diner has seen or heard from his wife. When he finds the trucker who gave Amy the ride, the trucker swears he has never seen her. Now Jeff must attempt to find his wife, who has been kidnapped and is being held for ransom. But who can he trust?"
Ulee's Gold (1997),"Ulee's Gold. Ulee is called one day by his incarcerated son, Jimmy, asking for a favor. Jimmy will repay his debts if they save his wife, Helen, from hoodlums. Ulee must now risk his and his family's lives to save Helen."
Face/Off (1997),"Face/Off. Sean Archer, a very tough, rugged FBI Agent. Who is still grieving for his dead son Michael. Archer believes that his son's killer is his sworn enemy, a very powerful criminal, Castor Troy. One day, Archer has finally cornered Castor, however, their fight has knocked out Troy cold. As Archer finally breathes easy over the capture of his enemy, he finds out that Troy has planted a bomb that will destroy the entire city of Los Angeles and all of its inhabitants. Unfortunately the only other person who knows its location is Castor's brother Pollux, and he refuses to talk. The solution, a special operation doctor that can cut off people's faces, and can place a person's face onto another person. Archer undergoes one of those surgeries to talk to Pollux. However, Castor Troy somehow regains consciousness and now wants revenge on Archer for taking his face. Not only is Troy ruining Archer's mission, but his personal life as well. Archer must stop Troy again. This time, it's personal."
Hoodlum (1997),"Hoodlum. The film focuses on the war of two gangs in 1930s Harlem for the control of illegal gaming - one headed by black strategic godfather Bumpy Johnson and another by white ruthless hothead Dutch Schultz. Negotiations proposed by white syndicate boss Lucky Luciano never get under way, blood flows and Johnson gets jailed. When Johnson is paroled, he gets the work of enforcer for mighty Stephanie ""The Queen"" St. Clair. She is also jailed for racketeering and when she leaves she makes him promise ""no violence""."
Air Force One (1997),"Air Force One. The President of the USA goes to Moscow and gives a stirring speech outlining the USA's new ""Zero-tolerance"" policy with respect to terrorism. On the flight home, terrorists take over Air Force One (the President's official plane) and take the passengers (including his wife and daughter) hostage. The terrorists plan to execute one hostage every half-hour unless/until their demands are met. However, the President is a former Medal of Honor winner, so the terrorists may be in for a surprise..."
In & Out (1997),"In & Out. Based off of the comic book. Unbeknownst to other people, there is a private agency code named MiB. This agency is some kind of extra terrestrial surveillance corporation. Then, one of the agency's finest men only going by the name ""K"", is recruiting for a new addition to the agency. He has chosen James Edwards of the N.Y.P.D. Then, one day, a flying saucer crashes into Earth. This was an alien a part of the ""Bug"" race. He takes the body of a farmer and heads to New York. He is searching for a super energy source called ""The Galaxy"". Now, Agents J and K must stop the bug before it can escape with the galaxy."
